ЭКР 2102КФ, МИНИКА 1102МКФ
«–» под знаком «ОШ»;Неверные действия оператора
О240;Превышена длина РПЛУ при приёме с клавиатуры
О242;Нажата клавиша СБРОС при вводе с клавиатуры
О243;РПЛУ отсутствует в БД
О245;Ошибка при приёме блока
О246;Ошибка при передаче блока
О247;Нет ответа в течение 10 секунд
О248;Нажата клавиша СБРОС при ожидании команды
О249;РПЛУ уже есть в БД
О250;Ненулевые итоги БД РПЛУ
О251;Переполнение БД РПЛУ в ККМ
О252;Неправильная последовательность команд
О255;Неидентифицируемая ошибка ККМ
НБ;Нет бумаги
ПЧ;Затруднено движение каретки печати головки
ЗП;Требуется заправить подкладной документ в принтер, или сброшен пароль заводского номера при техобнулении, или просто засорился датчик подкладного документа
УБР;Убрать подкладной документ из принтера (или мусор из датчика)
ПАР;Ввести пароль кассира (либо нажать клавишу КАССИР1/КАССИР2/КАССИР3/КАССИР4)
ПАР1, ПАР2, ПАР3, ПАР5;Ввести пароль соответствующего режима
Ошибка#0001 (чек);Отключена ФП
Ошибка#0002 (чек);Попытка второй раз запрограммировать заводской номер
Ошибка#0003 (чек);Попытка провести пятую перерегистрацию
Ошибка#0004 (чек);Произведено уже 3650 записей в ФП
Ошибка#0009 (чек);Сбой записи-чтения при обращении к ФП
Ошибка#00010 (чек);Сбой контрольной суммы Z-отчёта
Ошибка#00019 (чек);Превышен лимит ежедневного гросс-итога. Нажать СБРОС, перейти в режим Z, набрать 100, нажать ПОДИТОГ
SAMSUNG ER250RK
О0;Переполнение гросс-итога
О1;Ошибка оператора
О2;Неправильный пароль ФП
О3;Переполнение ФП
О4;Прошло более 24-х часов
О5;Неисправность ФП
О6;Неисправность ФП
О7;Ошибка дисплея
О8;Нет бумаги
О9;Ошибка принтера
О10;Сбой ОЗУ
ПАДЕНИЕ НАПРЯЖЕНИЯ (чек);Скачки напряжения
Ошибка записи фиск. памяти (чек);Неисправность ФП
АМС 100К
01;Ошибка записи в ЕЕРRОМ
01 (чек);ЭКЛЗ: некорректный формат или параметр команды
02;Ошибка чтения ЕЕРRОМ
02 (чек);ЭКЛЗ: некорректное состояние
03;Ошибка записи в часовую микросхему
03 (чек);ЭКЛЗ: авария
04;Ошибка чтения из часовой микросхемы
04 (чек);ЭКЛЗ: авария криптографического сопроцессора
05;Нарушение функционирования ОЗУ
05 (чек);ЭКЛЗ: исчерпан временной ресурс использования
06;Нарушение информации ПЗУ (несовпадение контрольных сумм)
06 (чек);ЭКЛЗ: переполнена
07;Ошибка записи базы товаров
07 (чек);ЭКЛЗ: неверные дата или время
08;Ошибка чтения базы товаров
08 (чек);ЭКЛЗ: нет запрошенных данных
09;Неисправность в цепи формирования импульса печати ТПГ
09 (чек);ЭКЛЗ: переполнение документа
10;Отсутствует связь с БФП
11;Нет свободного места в БФП
12;Ошибка при записи информации в БФП
13;Нарушение КС блока консольной информации
14;Аппаратная неисправность интерфейса I2С
15;При записи покупки в ЭЖ обнаружены непустые ячейки
16;Нет номера ККМ
24;24 часа с момента открытия смены истекли
50;Нет связи с ЭКЛЗ, ЭКЛЗ неисправна или отсутствует
51;Несовпадение регистрационного номера ЭКЛЗ
52;Несовпадение номера смены в ФП и ЭКЛЗ
98;В БФП обнаружены 3 (или более) сбойные записи
99;Переход часовой микросхемы через век
АМС 110К
Авария криптопроцессора ЭКЛЗ;Необратимая неисправность КС ЭКЛЗ
Авария ЭКЛЗ;Необратимая неисправность ЭКЛЗ
Буфер не заполнен;Попытка вывести отчет Очистка буфера при незаполненном буфере
Закройте смену;Попытка выполнить операцию, предусматривающую закрытие смены
Линия управления печатью занята;Невозможность печати с заданной чёткостью
Неисправное состояние ЭКЛЗ;Возможно, требуется правка ФП
Некорректные данные в БФП;Искажение информации в фискальной памяти
Некорректная команда;Некорректный формат или параметры команды
Нет ответа от ЭКЛЗ;ЭКЛЗ не подключена или неисправна
Нет продаж;Попытка вывода информации из пустого буфера
Нефискальный режим;Попытка обращения к ЭКЛЗ или ФП на нефискализированной ККМ
Обрыв бумаги;Обрыв бумаги или неисправность датчика обрыва бумаги (замыкание цифровых клавиш 0+7)
Ошибка № смены. Вывод док. - режим;Возможно, требуется правка ФП и/или замена ЭКЛЗ
Ошибка № ЭКЛЗ! Вывод док. - Режим;Ошибка сравнения номера ЭКЛЗ
Ошибка зав № ККМ;Номер машины искажён или отсутствует
Ошибка записи в микросхему AT89S8252;Ошибка при записи информации в энергонезависимую память процессора
Ошибка при идентификации БФП;Процессор СП не идентифицировал ФП
Ошибка при идентификации ЭКЛЗ;Процессор СП не идентифицировал ЭКЛЗ
Ошибка связи с микросхемой 89S4D12;Нарушение функционирования ОЗУ (попробовать заменить аккумулятор)
Прошло 24 часа, закройте смену;Прошло 24 часа после открытия смены
Сверхнормативная активизация ЭКЛЗ;Отсутствует связь с БФП
Сверхнормативная перерегистрация;Попытка провести 25-ю перерегистрацию
ФП заполнена;Нет свободных полей для записи сменных отчётов
ЭКР 2102К, Миника 1102 (.1, .3) К
АВАРИЯ КС ЭКЛЗ;Криптографический сопроцессор ЭКЛЗ неисправен
АВАРИЯ ЭКЛЗ;ЭКЛЗ неисправна
АП;Авария питания
ИСЧЕРПАН ВРЕМ ЭКЛЗ;Окончилось время использования ЭКЛЗ
НБУ;Закончилась лента
НЕКОР НОМ ЭКЛЗ;Некорректный номер ЭКЛЗ
НЕКОР СОСТ ЭКЛЗ;Необходимо проверить дату и время
НЕСОВПАДЕНИЕ СМЕН;Требуется правка ФП
НЕТ ЗАПР ДАННЫХ;Не выставлена 5-ая опция
НП НЕНОР;Сбой фискальной памяти
ОЗУ ;Неисправность ОЗУ
ОЗУ1;Основное ОЗУ неисправно
ОЗУ2;Дополнительное ОЗУ неисправно
ОШ ДАТА И ВРЕМЯ;Ввести правильную дату и время, требуется корректировка ФП, требуется замена ЭКЛЗ
ПЗУ ;Неисправность ПЗУ
ПУ;Сбой печатающего устройства
РЕЗ П;Сбой ОЗУ, общий сброс
ЭКЛЗ ПЕРЕПОЛНЕН;ЭКЛЗ переполнена
ЭКР 3102К, ЭКР 3110.3К
А.ЧАС НЕНОР;Неисправен таймер
АП;Авария питания
БПУ НЕНОР;Нет связи с контроллером печати
ЕГ НП.ЗАП;Ошибка записи в ФП
ЕГ НП.РАЗ;Ошибка разметки ФП
ЕГ ОЗУ;ОЗУ неисправно или микросхема меньше требуемого размера
ЕГ ПЗУ;Ошибка контрольной суммы ПЗУ
ЕГ ППЗУ;Не работает переключение между банками ПЗУ
ЕГ ЧАС;Неисправность таймера
ЕП НЕНОР;Ошибка ЭКЛЗ
ЕП ПЕРЕП;Переполнение ЭКЛЗ (или ФП при переактивизации)
ЕПЗ НО;Установлена ЭКЛЗ с другим номером
НБУ;Закончилась лента
НП НЕНОР;Фискальная память неисправна
ОЗУ НЕНОР;Неисправность ОЗУ
ОЗУ НЕУС;ОЗУ неисправно или микросхема меньше требуемого размера
ПЕРЕГРЕВ;Перегрев термопринтера
ПЕРЕП.СЧ;Переполнение
ПЗУ НЕНОР;Неисправность ПЗУ
РЕЗ П;Общий сброс
СБОЙ ПУ;Сбой печатающего устройства
Касби 02К
Авария КС ЭКЛЗ;Авария криптографического сопроцессора
Авария ЭКЛЗ;Авария ЭКЛЗ
Деление на ноль;Деление на ноль в режиме «калькулятор»
Закройте смену;Прошло более 24 часов с момента открытия смены, или электронный журнал заполнен полностью
Лимит врем ЭКЛЗ;Исчерпан временной ресурс использования ЭКЛЗ
Мало наличных;Попытка снятия или возврат суммы, превышающей сумму наличных в кассе
Наруш. инф. в РПЗУ;ККМ пытается восстановить данные
Невер. время ЭКЛЗ;Неверные дата или время
Неверная дата;При коррекции даты введена дата, более ранняя, чем дата последней закрытой смены или несуществующая дата
Неверное время;При коррекции времени введено несуществующее время
Неверное количество;Некорректный ввод количества
Нет бумаги;Необходимо заправить бумагу
Нет данных ЭКЛЗ;Нет запрошенных данных
Нет номера ККМ;Отсутствует заводской номер ККМ в ФП
Нет связи с ЭКЛЗ;Отсутствует информационный блок ККМ с ЭКЛЗ
Нет соответствия;Различие записей в ФП и ЭКЛЗ (дата, время, ИНН и т.д.)
Новая ЭКЛЗ;Подключение новой ЭКЛЗ к фискализированной ККМ
Нужно допечатать;Обрыв бумаги при печати
Отличие сумм;Итоговая сумма по последней смене отличается от суммы в ЭКЛЗ
Ош. итог ЭКЛЗ;Переполнена ЭКЛЗ
Ош. параметр ЭКЛЗ;Некорректный формат или параметр команды
Ош. состояние ЭКЛЗ;Некорректное состояние ЭКЛЗ
Ошибка архива;Искажение информации, хранящейся в ЭКЛЗ
Ошибка весов;Нет связи с весами
Ошибка ЗАП ФП;Невыполненная запись информации в ФП или произошло ее искажение
Ошибка КС ПЗУ;Контрольная сумма ПЗУ в ККМ не совпадает с эталонной
Ошибка КС ФП;Повреждена информация о номере ККМ, одной из регистраций, одном из слотов активизации, или количество ошибок в записях закрытий смен - более трёх
Переполнен. ЭКЛЗ;Было произведено максимально возможной количество регистраций
Переполнение;Превышение максимально допустимой разрядности
Разная нумерация;Отличие количества закрытых смен к фискализированной ККМ 
Разряд батарей;Низкий уровень напряжения на аккумуляторной батарее
Сумма велика;Вводится слишком большой множитель
Товар не найден;Отсутствие товара в БД
ФП переполнена;Было произведено максимально возможное количество закрытий смен
